id;artist;song;duration_sec;explicit;year;genre;popularity;;;;;;;;
179;Ja Rule;Livin' It Up;257;FALSE;2001;hip hop, pop, R&B;64;;;;;;;;
180;Destiny's Child;Independent Women, Pt. 1;221;FALSE;2001;pop, R&B;65;;;;;;;;
181;DJ Pied Piper & The Masters Of Ceremonies;Do You Really Like It? - Radio Edit;217;FALSE;2001;Dance/Electronic;54;;;;;;;;
182;Jennifer Lopez;I'm Real (feat. Ja Rule) - Murder Remix;262;TRUE;2001;hip hop, pop, R&B;66;;;;;;;;
183;Musiq Soulchild;Love;305;FALSE;2000;pop, R&B;0;;;;;;;;
184;So Solid Crew;21 Seconds;303;TRUE;2001;Dance/Electronic;51;;;;;;;;
185;Robbie Williams;Eternity;303;FALSE;2001;pop, rock;48;;;;;;;;
186;Basement Jaxx;Romeo;217;FALSE;2001;pop, Dance/Electronic;0;;;;;;;;
187;Ludacris;Southern Hospitality (Featuring Pharrell);301;TRUE;2000;hip hop, pop;54;;;;;;;;
188;Gabrielle;Rise;219;FALSE;2001;pop, R&B;60;;;;;;;;
189;Nelly;Ride Wit Me;292;TRUE;2000;hip hop, pop, R&B;75;;;;;;;;
190;Trick Daddy;I'm a Thug;254;TRUE;2001;hip hop, pop;59;;;;;;;;
191;Travis;Sing;229;FALSE;2001;rock, pop;68;;;;;;;;
192;JAY-Z;Izzo (H.O.V.A.);241;TRUE;2001;hip hop;63;;;;;;;;
193;Gabrielle;Out Of Reach;197;FALSE;2001;pop, R&B;69;;;;;;;;
194;OPM;Heaven Is a Halfpipe (If I Die);257;TRUE;2000;rock;56;;;;;;;;
195;K-Ci & JoJo;Crazy;263;FALSE;2019;pop, R&B;30;;;;;;;;
196;Staind;It's Been Awhile;265;TRUE;2001;rock, metal;64;;;;;;;;
197;3LW;No More (Baby I'ma Do Right);263;FALSE;2000;pop, R&B;56;;;;;;;;
198;Ginuwine;Differences;266;FALSE;2001;hip hop, pop, R&B;65;;;;;;;;
199;*NSYNC;Gone;292;FALSE;2001;pop;45;;;;;;;;
200;Lifehouse;Hanging By A Moment;216;FALSE;2000;pop, rock, metal;61;;;;;;;;
201;Nelly;Dilemma;289;TRUE;2002;hip hop, pop, R&B;77;;;;;;;;
202;Eminem;Without Me;290;TRUE;2002;hip hop;87;;;;;;;;
203;Avril Lavigne;Complicated;245;FALSE;2002;pop;78;;;;;;;;
204;Vanessa Carlton;A Thousand Miles;237;FALSE;2002;Folk/Acoustic, pop;75;;;;;;;;
205;The Calling;Wherever You Will Go;209;FALSE;2001;pop;72;;;;;;;;
206;Shakira;Underneath Your Clothes;224;FALSE;2001;pop, latin;64;;;;;;;;
207;No Doubt;Underneath It All;303;FALSE;2001;rock, pop;27;;;;;;;;
208;Truth Hurts;Addictive;226;TRUE;2002;pop, R&B;58;;;;;;;;
209;Busta Rhymes;I Know What You Want (feat. Flipmode Squad);324;TRUE;2002;hip hop, pop;68;;;;;;;;
210;Eminem;'Till I Collapse;298;TRUE;2002;hip hop;85;;;;;;;;
211;Diddy;I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans];286;FALSE;2004;hip hop, pop;69;;;;;;;;
212;Christina Milian;When You Look At Me - Radio Edit;223;FALSE;2001;hip hop, pop, R&B;60;;;;;;;;
213;Madonna;Die Another Day;276;FALSE;2003;pop;53;;;;;;;;
214;Jennifer Lopez;I'm Gonna Be Alright (feat. Nas);172;FALSE;2002;hip hop, pop, R&B;53;;;;;;;;
215;Angie Martinez;If I Could Go! (feat. Lil' Mo & Sacario);244;FALSE;2019;pop;40;;;;;;;;
216;Linkin Park;In the End;217;FALSE;2000;rock, metal;83;;;;;;;;
217;Las Ketchup;The Ketchup Song (Aserejé) - Spanglish Version;214;FALSE;2002;set();66;;;;;;;;
218;Aaliyah;Rock The Boat;275;FALSE;2019;hip hop, pop, R&B;0;;;;;;;;
219;Holly Valance;Kiss Kiss;204;FALSE;2002;pop, Dance/Electronic;54;;;;;;;;
220;Sugababes;Round Round;236;FALSE;2002;pop, R&B;59;;;;;;;;
221;Marilyn Manson;Tainted Love;200;FALSE;2003;rock, metal;60;;;;;;;;
222;Brandy;What About Us?;253;FALSE;2002;hip hop, pop, R&B;43;;;;;;;;
223;Chad Kroeger;Hero (feat. Josey Scott);200;FALSE;2003;metal;66;;;;;;;;
224;Britney Spears;Overprotected - Radio Edit;199;FALSE;2001;pop;61;;;;;;;;
225;Scooter;The Logical Song;234;FALSE;2013;pop, Dance/Electronic;46;;;;;;;;
226;Missy Elliott;4 My People (feat. Eve);289;TRUE;2001;hip hop, pop, R&B;49;;;;;;;;
227;Aaliyah;More Than A Woman;230;FALSE;2002;hip hop, pop, R&B;42;;;;;;;;
228;Brandy;Full Moon;249;FALSE;2002;hip hop, pop, R&B;52;;;;;;;;
229;Blue;One Love;207;FALSE;2002;pop;60;;;;;;;;
230;Busta Rhymes;Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix;239;TRUE;2001;hip hop, pop;55;;;;;;;;
231;Céline Dion;A New Day Has Come - Radio Remix;260;FALSE;2001;pop;59;;;;;;;;
232;Scooter;Nessaja;208;FALSE;2013;pop, Dance/Electronic;47;;;;;;;;
233;Eve;Gangsta Lovin';239;TRUE;2002;hip hop, pop, R&B;58;;;;;;;;
234;Disturbing Tha Peace;Move Bitch;272;TRUE;2002;hip hop, pop;59;;;;;;;;
235;Khia;My Neck, My Back (Lick It);223;TRUE;2015;pop, R&B;59;;;;;;;;
236;Tweet;Oops (Oh My) [feat. Missy Elliott];238;TRUE;2002;hip hop, pop, R&B;64;;;;;;;;
237;Kylie Minogue;Spinning Around;208;FALSE;2000;pop, Dance/Electronic;55;;;;;;;;
238;Nelly;Hot In Herre;228;TRUE;2002;hip hop, pop, R&B;75;;;;;;;;
239;Gareth Gates;Anyone of Us (Stupid Mistake);228;FALSE;2003;pop;53;;;;;;;;
